unique_id,model,ME,MAE,RMSE,MAPE
10_2,Naive,666.2205000000018,6625.2315,10241.441902196764,5.958871166499769
10_2,SeasonalNaive,2246.427166666667,3766.4528333333337,4722.209908601586,3.5627454948065496
10_40,Naive,-115.68216666666922,6881.242166666663,8565.638310983892,6.846624782531359
10_40,SeasonalNaive,-635.0865000000002,3039.1414999999997,3652.2418676955576,3.0704679787053446
10_72,Naive,2999.5013333333363,44292.76066666667,84578.6656792623,29.847170491058005
10_72,SeasonalNaive,13499.19466666667,22109.820333333333,31238.885780260316,16.210875159476366
13_90,Naive,-1548.5828333333368,7386.555166666666,9442.498907322944,5.91388199982172
13_90,SeasonalNaive,-9940.273666666668,10948.528,12764.395722802417,8.690401890836325
13_92,Naive,-2187.1958333333346,14772.447166666663,19015.962237299704,8.421695973421947
13_92,SeasonalNaive,-19462.362666666668,20006.891333333337,21662.131736453288,11.236458804717445
13_95,Naive,-504.89916666666494,9111.99616666667,11779.34027279832,6.298630779751771
13_95,SeasonalNaive,-11999.459833333332,12499.285166666667,14211.725806992208,8.681938148010948
14_38,Naive,953.1211666666677,9444.713166666666,11707.131211416188,10.118991689081332
14_38,SeasonalNaive,8501.243833333332,11341.501833333334,14400.157420967254,12.738127713693087
14_90,Naive,8292.215666666665,16630.08066666667,19610.443809436427,16.827778592390807
14_90,SeasonalNaive,8738.926333333335,10634.323333333332,15056.532565571553,11.49413380285985
14_92,Naive,18436.76566666667,34619.47233333333,40114.04453367425,20.609818990375775
14_92,SeasonalNaive,8268.912666666667,16541.258666666665,23373.38917121292,10.261459135399226
14_95,Naive,17085.886833333338,23126.345833333333,33583.34535486241,17.489377500681734
14_95,SeasonalNaive,17286.2255,17600.4355,23601.09764680508,14.306267022433742
19_92,Naive,2531.6386666666663,13812.139,16479.254111058443,12.192760355492178
19_92,SeasonalNaive,-3418.7354999999993,6461.823833333332,7889.8566442474075,5.482530899173672
19_95,Naive,3803.6560000000004,8026.244666666668,9808.039590502955,8.712668935471314
19_95,SeasonalNaive,3005.852166666666,4294.279833333333,5203.277876540742,4.656196847286742
1_92,Naive,-2228.8458333333315,19709.663833333336,23698.1798084873,13.74490244455025
1_92,SeasonalNaive,-12155.047166666665,12155.047166666665,13512.109572971507,8.329967831581696
1_95,Naive,-1046.3753333333361,7159.790666666667,8727.977800357881,5.8309244037256684
1_95,SeasonalNaive,-4374.8589999999995,5629.054000000001,6662.25897378134,4.480155457582632
20_38,Naive,-373.58783333333537,11923.432166666664,14974.682009767963,10.442191553463804
20_38,SeasonalNaive,-8185.478166666668,11959.902833333334,14238.816352105898,10.162446880757958
20_90,Naive,496.74316666666806,9919.5785,12167.361774491968,10.074103017959706
20_90,SeasonalNaive,-3328.175166666668,5842.881833333335,7445.120097203158,5.795546380786924
20_92,Naive,-1732.2558333333254,25484.36516666667,29967.859318423936,14.958810422094057
20_92,SeasonalNaive,-13013.812666666669,14196.795666666669,16485.955893973314,8.067890676582014
20_95,Naive,-1177.756166666666,10650.671166666674,12883.521502970441,7.098044904833999
20_95,SeasonalNaive,-3339.4453333333336,7013.9056666666675,8856.50730709008,4.594077518685926
24_92,Naive,3604.804166666662,15261.701166666666,18359.068648923203,12.418380377719124
24_92,SeasonalNaive,-5428.666166666664,7639.243166666664,9187.59949456848,6.001112504482507
26_38,Naive,-2687.458500000001,9900.164833333336,13066.80432448711,9.332478234040826
26_38,SeasonalNaive,130.39899999999884,7529.028666666665,9283.356913441747,7.355329175233336
27_90,Naive,4968.939666666666,9080.194999999998,11918.2289498057,9.702854576766866
27_90,SeasonalNaive,5306.829666666668,6678.443333333335,8451.015672941725,7.34913584292963
27_92,Naive,11946.67333333334,18071.901666666672,22314.47826644277,12.863464947208877
27_92,SeasonalNaive,2442.754499999998,6959.114833333335,9978.102561014379,5.016412481220799
27_95,Naive,10241.048166666666,16272.842166666665,24840.73295805316,14.68943607487892
27_95,SeasonalNaive,6634.813666666665,7749.791333333332,10460.427177726378,6.890185047099605
28_92,Naive,295.54733333333013,27050.531666666666,34027.56682959347,26.377826911828166
28_92,SeasonalNaive,-6470.084999999998,12788.401333333335,16327.052881980979,12.114315014778073
28_95,Naive,-1931.463999999998,13317.752999999999,17123.079463756607,13.391594878137173
